Bezug,Artikelnummer,Name_Suche,Datum,erfüllt,Benutzer,Lichtart,BA-Nr.,L*,a*,b*,"ΔL* ±1,5","Δa* ±0,40","Δb* ±0,40",ΔE*
Bezug,Schwarz RR,Schwarz RR,13.10.1994 11:47,,,D45,,55,0,4,,,,
,100024,Artikel Omega,01.01.2025 16:29,erfüllt,Mitarbeiter D,D45,BA-1004,"55,66","-0,26","3,9","0,66","-0,26","-0,1","0,72"
,100016,Artikel Pi,01.01.2025 19:55,erfüllt,Mitarbeiter D,D45,BA-1004,"53,85","-0,23","3,77","-1,15","-0,23","-0,23","1,2"
,100014,Artikel Xi,01.01.2025 22:59,erfüllt,Mitarbeiter D,D45,BA-1003,"55,56","-0,24","4,28","0,56","-0,24","0,28","0,67"
,100022,Artikel Chi,02.01.2025 10:52,erfüllt,Mitarbeiter A,D45,BA-1002,"55,34","0,08","3,92","0,34","0,08","-0,08","0,36"
,100004,Artikel Delta,02.01.2025 18:00,erfüllt,Mitarbeiter B,D45,BA-1004,"53,75","-0,2","4,29","-1,25","-0,2","0,29","1,3"
,100010,Artikel Kappa,04.01.2025 08:40,nicht erfüllt,Mitarbeiter A,D45,BA-1003,"54,03","0,5","3,99","-0,97","0,5","-0,01","1,09"
,100017,Artikel Rho,05.01.2025 01:56,nicht erfüllt,Mitarbeiter A,D45,BA-1003,"55,34","-0,19","4,7","0,34","-0,19","0,7","0,8"
,100022,Artikel Chi,05.01.2025 02:38,nicht erfüllt,Mitarbeiter A,D45,BA-1001,"56,96","0,13","4,06","1,96","0,13","0,06","1,97"
,100010,Artikel Kappa,05.01.2025 22:36,erfüllt,Mitarbeiter B,D45,BA-1002,"54,74","-0,32","3,93","-0,26","-0,32","-0,07","0,42"
,100024,Artikel Omega,07.01.2025 13:16,erfüllt,Mitarbeiter A,D45,BA-1001,56,"0,03","3,94",1,"0,03","-0,06",1
,100005,Artikel Epsilon,09.01.2025 15:54,erfüllt,Mitarbeiter B,D45,BA-1004,"55,51","-0,16","3,96","0,51","-0,16","-0,04","0,54"
,100014,Artikel Xi,10.01.2025 13:14,erfüllt,Mitarbeiter C,D45,BA-1002,"54,08","0,33","4,23","-0,92","0,33","0,23",1
,100011,Artikel Lambda,12.01.2025 06:50,erfüllt,Mitarbeiter B,D45,BA-1001,"55,88","0,13","4,27","0,88","0,13","0,27","0,93"
,100004,Artikel Delta,12.01.2025 10:13,erfüllt,Mitarbeiter A,D45,BA-1001,"55,97","-0,3","4,28","0,97","-0,3","0,28","1,05"
